ID,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
1129,Caltex Toowoomba,Caltex,383 Taylor Street,Wilsonton,Queensland,-27.5500099999999,151.905438
1130,Woolworths Caltex Toowoomba,Caltex,629 Ruthven Street,Toowoomba City,Queensland,-27.568345,151.951714
1131,Caltex Toowoomba,Caltex,646 Ruthven Street,Toowoomba City,Queensland,-27.568543,151.952457
1132,Woolworths Caltex Toowoomba,Caltex,1 Burke Street,Rangeville,Queensland,-27.571253,151.976811
1133,Caltex Toowoomba,Caltex,875-877 Ruthven Street,Kearneys Spring,Queensland,-27.5941349999999,151.9471
1134,Independent Pittsworth,Independent Fuel Supplies,39 Yandilla Street,Pittsworth,Queensland,-27.7150179999999,151.636852
1135,Caltex Pampas,Caltex,Gore Highway,Pampas,Queensland,-27.79043,151.411386
1136,Independent Millmerran,Independent Fuel Supplies,31 Commens Street,Millmerran,Queensland,-27.878346,151.265838
1137,Independent Tamrookum via Beaudesert,Independent Fuel Supplies,9135 Mount Lindesay Highway,Tamrookum,Queensland,-28.1169159999999,152.917529
1138,Woolworths Caltex Tweed Heads,Caltex,61-65 Wharf Street,Tweed Heads,New South Wales,-28.172274,153.542672
1139,Caltex Tweed Heads West,Caltex,96 Kennedy Drive,Tweed Heads West,New South Wales,-28.187149,153.523014
1140,Woolworths Caltex Tweed Heads South,7-Eleven Pty Ltd,58-60 Minjungbal Drive,Tweed Heads South,New South Wales,-28.201366,153.544511
1141,Caltex Banora Point West,Caltex,53 Darlington Drive,Banora Point,New South Wales,-28.213875,153.541741
1142,Woolworths Caltex Warwick,Caltex,68 Grafton Street,Warwick,Queensland,-28.2168639999999,152.035155
1143,Caltex Warwick,Caltex,48 Wallace Street,Warwick,Queensland,-28.223598,152.019568
1144,Caltex Warwick,7-Eleven Pty Ltd,162 Cleary Street,Warwick,Queensland,-28.227856,152.018804
1145,Caltex Stanthorpe,Caltex,4 McGlew Street,Stanthorpe,Queensland,-28.644397,151.931334
1146,Caltex Wallangarra,Independent Fuel Supplies,51 Tenterfield Street,Wallangarra,Queensland,-28.922563,151.930549
1147,Independent Dardanup,Ampol,11 Charlotte Street,Dardanup,Western Australia,-33.399509,115.754482
1148,Caltex Boyanup,Gull,9 South Western Highway,Boyanup,Western Australia,-33.483467,115.728124
1149,Independent Hahndorf,Independent Fuel Supplies,76 Mount Barker Road,Hahndorf,South Australia,-35.0283489999999,138.80959
1150,Ampol Cape Jervis,Independent Fuel Supplies,69 Flinders Drive,Cape Jervis,South Australia,-35.604192,138.107953
1151,Caltex Myrtleford,Caltex,59-61 Myrtle Street,Myrtleford,Victoria,-36.564765,146.728053
1152,Caltex Bright,Caltex,Anderson Street,Bright,Victoria,-36.7277559999999,146.959742
1153,Independent Tawonga South,Caltex,233 Kiewa Valley Highway,Tawonga South,Victoria,-36.737923,147.160567
1154,BP Kuranda,BP,3 Rob Vievers Drive,Kuranda,Queensland,-16.821356,145.633494
1155,BP Mareeba,BP,319 Byrnes Street,Mareeba,Queensland,-17.0066009999999,145.425307
1156,Lamont Transport,BP,75 Raleigh Street,Dimbulah,Queensland,-17.146715,145.11348
1157,BP Twin Rivers,BP,Bruce Highway,Deeral,Queensland,-17.2227779999999,145.91489
1158,Daley's Garage,BP,56 Kennedy Highway,Tolga,Queensland,-17.223921,145.479164
1159,K & P Family Store,BP,177 Howard Kennedy Drive,Babinda,Queensland,-17.3376959999999,145.927979
1160,BP Innisfail ,BP,117 Palmerston Drive,Goondi Bend,Queensland,-17.5181679999999,146.011096
1161,BP Innisfail,BP,Cnr Ernest and Lily Street,Innisfail,Queensland,-17.5264159999999,146.028278
1162,BP Mourilyan,Independent Fuel Supplies,Bruce Highway,Mourilyan,Queensland,-17.5716899999999,146.039562
1163,BP Kennedy Store,BP,,Kennedy,Queensland,-18.2052469999999,145.956075
1164,BP Rollingstone,BP,Bruce Highway,Rollingstone,Queensland,-19.043823,146.390398
1165,BP Woodlands,BP,2 Rangeview Street,Deeragun,Queensland,-19.246394,146.677368
1166,BP Bohle,BP,585 Ingham Road,Mount St John,Queensland,-19.26075,146.745375
1167,BP Garbutt,BP,2 Bombala Street,Garbutt,Queensland,-19.268655,146.756873
1168,BP Dalrymple,BP,76 Pilkington Street,Garbutt,Queensland,-19.2742279999999,146.76696
1169,BP Southern Gateway,BP,19 Bowen Road,Mundingburra,Queensland,-19.293694,146.79584
1170,BP Express Aitkenvale,BP,271 Ross River Road,Aitkenvale,Queensland,-19.296412,146.768135
1171,BP Kirwan,BP,170 Thuringowa Drive,Kirwan,Queensland,-19.301906,146.735013
1172,Fairfield Waters,BP,44-48 Stuart Drive,Idalia,Queensland,-19.3086529999999,146.805786
1173,BP Wulguru,BP,336-338 Stuart Drive,Wulguru,Queensland,-19.3318419999999,146.826011
1174,BP Merinda,BP,Bruce Highway,Merinda,Queensland,-20.015548,148.167066
1175,BP Whitsunday,BP,112 Shute Harbour Road,Cannonvale,Queensland,-20.280704,148.690926
1176,BP Proserpine,BP,Bruce Highway,Prosperine,Queensland,-20.402071,148.58703
1177,Gargett Store,BP,3 Johnson Avenue,Seaforth,Queensland,-20.8861039999999,148.948241
1178,BP Nebo Junction Cafe,BP,,Nebo,Queensland,-21.634108,148.692833
1179,BP Moranbah,BP,Colliery Street,Moranbah,Queensland,-21.991907,148.027991
1180,Lotus Creek Tourist,BP,Lotus Creek Road,Marlborough,Queensland,-22.8139449999999,149.888459
1181,BP Marlborough,BP,Bruce Highway,Marlborough,Queensland,-22.8281699999999,149.93277
1182,BP Marmor,BP,Bruce Highway,Marmor,Queensland,-23.6819149999999,150.713314
1183,BP Rosedale Store & News,BP,78 James Street,Rosedale,Queensland,-24.6294829999999,151.913913
1184,Jo's Roadhouse,Ampol,1999-2181 Bundaberg-Lowmead Road,Avondale,Queensland,-24.7522489999999,152.134241
1185,BP North Bundaberg,7-Eleven Pty Ltd,64 Mount Perry Road,Bundaberg North,Queensland,-24.8513659999999,152.328468
1186,BP Bundaberg ,BP,33 Princess Street,Bundaberg East,Queensland,-24.859439617,152.368462184
1187,BP Barolin Street,BP,19 Barolin Street,Bundaberg Central,Queensland,-24.870039,152.349777
1188,BP Takalvan Street,BP,10 Takalvan Street,Bundaberg West,Queensland,-24.870557,152.336243
1189,BP Sims Road Bundaberg,7-Eleven Pty Ltd,188A Barolin Street,Avenell Heights,Queensland,-24.889125,152.358723
1190,BP Bundaberg,7-Eleven Pty Ltd,127 Takalvan Street,Avoca,Queensland,-24.8913879999999,152.31694
1191,BP Gin Gin,BP,6 Mulgrave Street,Gin Gin,Queensland,-24.984575,151.952285
1192,BP Burrum Heads,BP,1 Burrum Heads Road,Burrum Heads,Queensland,-25.1922319999999,152.61145
1193,Isis River Tourist Centre,BP,27881 Bruce Highway,Isis River,Queensland,-25.255884,152.364639
1194,Gallehawks ,BP,133 Torquay Road,Scarness,Queensland,-25.286616,152.853116
1195,BP Torbanlea,7-Eleven Pty Ltd,25169 Bruce Highway,Torbanlea,Queensland,-25.357425,152.597021
1196,Gayndah Midway Roadhouse,BP,76 Capper Street,Gayndah,Queensland,-25.628001,151.614775
1197,BP Tin Can Bay,BP,23 Gympie Road,Tin Can Bay,Queensland,-25.9124469999999,153.006519
1198,Kilkivan Tyre & Rural Supplies,BP,17 Crescent Street,Kilkivan,Queensland,-26.0853759999999,152.242243
1199,Kilkivan News & Takeaway,BP,37 Bligh Street,Kilkivan,Queensland,-26.0863709999999,152.240773
1200,BP Wandoan,BP,5 Zupp Road,Wandoan,Queensland,-26.125349,149.961142
1201,John Jackson Motors,BP,Wondai Road,Hivesville,Queensland,-26.178305,151.691204
1202,Shaw's Roadhouse,BP,53 Moore Street,Goomeri,Queensland,-26.1851339999999,152.068473
1203,Widgee General Store,BP,2226 Gympie-Woolooga Road,Widgee,Queensland,-26.2019759999999,152.438588
1204,Murgon Roadhouse,BP,1647 Bunya Highway,Murgon,Queensland,-26.2376439999999,151.930109
1205,BP Kingaroy,BP,114-118 Kingaroy Street,Kingaroy,Queensland,-26.5424899999999,151.839316
1206,BP Nanango,BP,3 King Street,Nanango,Queensland,-26.67896,151.997507
1207,BP Chinchilla,BP,20 Warrego Highway,Chinchilla,Queensland,-26.745171,150.636736
1208,Blackbutt ,BP,61 Coulson Street,Blackbutt,Queensland,-26.885683,152.103043
1209,BP Condamine,BP,16 Wambo Street,Condamine,Queensland,-26.92714,150.134971
1210,BP Colinton,BP,7819 D'Aguilar Highway,Colinton,Queensland,-26.931057,152.323801
1211,BP Harlin,BP,Brisbane Valley Highway,Harlin,Queensland,-26.974731,152.359302
1212,BP Dalby,BP,Cnr Drayton and Pratten Street,Dalby,Queensland,-27.179974,151.260498
1213,Modern Motors,BP,26 Day Street,Tara,Queensland,-27.276466,150.457101
1214,BP Oakey,BP,20 Campbell Street,Oakey,Queensland,-27.441207,151.720301
1215,BP Highfields,BP,10538 New England Highway,Highfields,Queensland,-27.466465,151.950102
1216,BP Charlton,BP,10810 Warrego Highway,Charlton,Queensland,-27.520002,151.849785
1217,BP Northend,BP,176 North Street,North Toowoomba,Queensland,-27.542297,151.954485
1218,BP East Toowoomba,BP,83 Bridge Street,Mount Lofty,Queensland,-27.553263,151.968046
1219,BP Connect On Tor,BP,Cnr Tor Street and Hursley Road,Newtown,Queensland,-27.5617779999999,151.92737
1220,BP Herries Street,BP,144 Herries Street,Toowoomba City,Queensland,-27.56539,151.95457
1221,BP High Street,BP,30 Meibusch Street,Rangeville,Queensland,-27.585682,151.97815
1222,BP Kearneys Spring,BP,823-825 Ruthven Street,Kearneys Spring,Queensland,-27.5887299999999,151.948125
1223,BP Drayton,BP,36-38  Brisbane Street,Drayton,Queensland,-27.600565,151.915217
1224,Southbrook Store,BP,O'Shea Avenue,Southbrook,Queensland,-27.678298,151.71318
1225,Raff Farm Supplies,Independent Fuel Supplies,116 Yandilla Street,Pittsworth,Queensland,-27.7168129999999,151.631941
1226,Moonie Crossroads,BP,Cnr Moonie Highway and Leichhardt Highway,Moonie,Queensland,-27.717659,150.369964
1227,BP Millmerran,BP,Campbell Street,Millmerran,Queensland,-27.877964,151.26966
1228,Captains Mountain Roadhouse,BP,9264 Gore Highway,Millmerran,Queensland,-27.9305409999999,151.16915
1229,St George,BP,Bundoran Road,St George,Queensland,-28.118603,148.73571
1230,BP Connect Kennedy Drive,BP,107 Ducat Street,Tweed Heads,New South Wales,-28.185775,153.526007
1231,BP South Tweed Heads,BP,2 Minjungbal Drive,Tweed Heads South,New South Wales,-28.196073,153.543787
1232,BP Albion,BP,26-40 Cunningham Highway,Warwick,Queensland,-28.212745,152.03604
1233,BP Koreman's Store,BP,180 Wood Street,Warwick,Queensland,-28.218585,152.010293
1234,BP Chinderah,BP,Lot 9-12 Chinderah Bay Drive,Chinderah,New South Wales,-28.227138,153.556933
1235,BP Terranora Village,BP,2-14 Henry Lawson Drive,Terranora,New South Wales,-28.2397369999999,153.501434
1236,BP Connect Chinderah,BP,69 Ozone Street,Chinderah,New South Wales,-28.2438559999999,153.557367
1237,BP Kingscliff,BP,76 Marine Parade,Kingscliff,New South Wales,-28.256726,153.577873
1238,Gore Roadhouse,BP,3 Cunningham Highway,Oman Ama,Queensland,-28.29475,151.489143
1239,BP Oman Ama,BP,Cunningham Highway,Oman Ama,Queensland,-28.397431,151.294522
1240,BP Inglewood,BP,119 Albert Street,Inglewood,Queensland,-28.4185649999999,151.076565
1241,Goondiwindi,BP,Racecourse Road,Goondiwindi,Queensland,-28.534247184,150.315922661
1242,BP Bridge Garage,BP,Cunningham Highway,Goondiwindi,Queensland,-28.5458219999999,150.323739
1243,Reliance Laverton,BP,6 Cox Street,Laverton,Western Australia,-28.6239439999999,122.396466
1244,BP Desert Palms,BP,1 Beria Road,Laverton,Western Australia,-28.625142,122.400725
1245,Favero Motors,BP,55 High Street,Stanthorpe,Queensland,-28.648542,151.944791
1246,Wa Border Village,BP,Eyre Highway,Border Village,South Australia,-31.638338,129.003536
1247,Pemberton Garage,BP,84 Brockman Street,Pemberton,Western Australia,-34.443654,116.036973
1248,Myrtleford ,BP,33-35 Myrtle Street,Myrtleford,Victoria,-36.5665299999999,146.729351
1249,The Total Shop,BP,12 Delany Avenue,Bright,Victoria,-36.7275079999999,146.965458
1250,BP Millicent,BP,80 Mount Gambier Road,Millicent,South Australia,-37.604878,140.360207
1251,Padthaway Deli,BP,20-21 Memorial Drive,Padthaway,South Australia,-36.600021,140.491549
1252,BP Bordertown Truck and Bus,BP,Lot 3 Dukes Highway,Bordertown,South Australia,-36.297792,140.757348
1253,BP Keith,BP,Dukes Highway and Ross Avenue,Keith,South Australia,-36.092778,140.34896
1254,Tinty Auto,BP,9-11 Becker Terrace,Tintinara,South Australia,-35.881681,140.053931
1255,BP Griffith,BP,81 Banna Avenue,Griffith,New South Wales,-34.288584,146.054059
1256,Boddington ,BP,38 Bannister Road,Boddington,Western Australia,-32.802381,116.474331
1257,BP Clydebank,BP,125 Cobra Street,Dubbo,New South Wales,-32.25501,148.611967
1258,BP West Dubbo,BP,98 Victoria Street,Dubbo,New South Wales,-32.2417809999999,148.585432
1259,RAAF Base Tindal,BP,Dawson Road,Tindal,Northern Territory,-14.511523,132.364341
1260,BP Katherine,BP,8 Katherine Terrace,Katherine South,Northern Territory,-14.4668849999999,132.264721
1261,ADF Darwin,BP,5 Wishart Road,Wishart,Northern Territory,-12.460507306,130.926544943
1262,BP Darwin City,BP,91 Smith Street,Darwin,Northern Territory,-12.459397,130.837389
1263,BP Palms Auto Port,BP,907 Stuart Highway,Holtze,Northern Territory,-12.4585039999999,130.971022
1264,BP Ludmilla,BP,25 Bagot Road,Ludmilla,Northern Territory,-12.426893,130.855966
1265,BP Lube Centre,BP,538 Stuart Highway,Winnellie,Northern Territory,-12.426254,130.893736
1266,BP Fannie Bay,BP,88 Ross Smith Avenue,Fannie Bay,Northern Territory,-12.4247819999999,130.838944
1267,BP Malak,BP,Holzerland Street and Malak Place,Malak,Northern Territory,-12.396606,130.904315
1268,BP Bagot Road,BP,331 Bagot Road,Coconut Grove,Northern Territory,-12.395072,130.855767
1269,BP Nightcliff,BP,Progress Drive and Oleander Street,Nightcliff,Northern Territory,-12.387639,130.852088
1270,BP Casuarina Cityway,BP,274 Trower Road,Casuarina,Northern Territory,-12.3735199999999,130.883804
1271,Woolworths Caltex Mount Gambier,Caltex,108 Commercial Street East,Mount Gambier,South Australia,-37.8305609999999,140.786504
1272,Caltex Mount Gambier,Caltex,141 Commercial Street West,Mount Gambier,South Australia,-37.826739,140.774624
1273,Caltex Mount Gambier,Caltex,29 Penola Road,Mount Gambier,South Australia,-37.825171,140.781979
1274,Caltex Tarpeena,Caltex,50 Riddoch Highway,Tarpeena,South Australia,-37.624965,140.796618
1275,Caltex Millicent,Caltex,140 Mount Gambier Road,Millicent,South Australia,-37.608603,140.365453
1276,Caltex Millicent,Caltex,12 Williams Road,Millicent,South Australia,-37.6038389999999,140.359595
1277,Woolworths Caltex Naracoorte,Caltex,12 McRae Street,Naracoorte,South Australia,-36.957126,140.741537
1278,Caltex Bordertown,Caltex,41 North Terrace,Bordertown,South Australia,-36.308028422,140.772591797
1279,Woolworths Caltex Griffith,Caltex,37-39 Burley Griffin Way,Griffith,New South Wales,-34.2893309999999,146.059909
1280,Ampol West Griffith ,Ampol,Kidman Way,Griffith,New South Wales,-34.2853529999999,146.02783
1281,Ampol Beelbangara,Independent Fuel Supplies,2-4 Richards Street,Beelbangera,New South Wales,-34.2538069999999,146.101674
1282,Woolworths Caltex Dubbo,Caltex,Lot 2 Windsor Parade,Dubbo,New South Wales,-32.2564169999999,148.632622
1283,Caltex Dubbo,Caltex,210 Brisbane Street,Dubbo,New South Wales,-32.2532209999999,148.603156
1284,Caltex Dubbo,Caltex,119 Bourke Street,Dubbo,New South Wales,-32.2433639999999,148.60918
1285,Woolworths Caltex Katherine,Caltex,Lindsay Street and First Street,Katherine,Northern Territory,-14.4653779999999,132.266158
1286,Caltex Palmerston,Caltex,71 Chung Wah Terrace,Gunn,Northern Territory,-12.482141,130.985872
1287,Caltex Berrimah,Caltex,Stuart Highway and Vanderlin Drive,Knuckey Lagoon,Northern Territory,-12.4333129999999,130.924931
1288,Caltex Jingili,Caltex,231 McMillans Road,Jingili,Northern Territory,-12.3948139999999,130.877952
1289,Woolworths Caltex Nightcliff,Caltex,Dick Ward Drive and Craig Crescent,Coconut Grove,Northern Territory,-12.38953,130.851932
1290,Woolworths Caltex Casuarina,Caltex,Tower Road and Scaturchio Street,Casuarina,Northern Territory,-12.37198,130.883622
1291,Kain and Shelton Agencies,Caltex,141 Jubilee Highway West,Mount Gambier,South Australia,-37.8181920709999,140.76608591
1292,Caltex,Caltex,41 North Terrace,Bordertown,South Australia,-36.3079874219999,140.772626797
1293,F & R N McNabb Pty Ltd,Caltex,2 Mackay Avenue,Griffith,New South Wales,-34.290411524,146.063171492
1294,CPS Caltex Dubbo,Caltex,178 Fitzroy Street,Dubbo,New South Wales,-32.2452422809999,148.61538035
1295,Mobil Mount Gambier,7-Eleven Pty Ltd,26 Pick Avenue,Mount Gambier,South Australia,-37.8369939999999,140.79738
1296,Mobil Mount Gambier,7-Eleven Pty Ltd,115 Commercial Street East,Mount Gambier,South Australia,-37.830254,140.787461
1297,Mobil Mount Gambier,7-Eleven Pty Ltd,193 Commercial Street West,Mount Gambier,South Australia,-37.824328,140.767042
1298,Mobil Mount Gambier,7-Eleven Pty Ltd,84 Jubilee Highway West,Mount Gambier,South Australia,-37.819599,140.772237
1299,Mobil Mount Gambier,7-Eleven Pty Ltd,30 Graham Road,Mount Gambier,South Australia,-37.8146619999999,140.75307
1300,Mobil Mount Gambier,7-Eleven Pty Ltd,2 Scott Circuit,Mount Gambier,South Australia,-37.8132189999999,140.788862
1301,Mobil Millicent,7-Eleven Pty Ltd,Mount Burr Road and Adelaide Road,Millicent,South Australia,-37.591711,140.353214
1302,Mobil Penola,7-Eleven Pty Ltd,106-112 Church Street,Penola,South Australia,-37.3729769999999,140.836752
1303,Mobil Naracoorte,7-Eleven Pty Ltd,46 Gordon Street,Naracoorte,South Australia,-36.961674,140.740426
1304,Mobil Padthaway,7-Eleven Pty Ltd,12-13 Memorial Drive,Padthaway,South Australia,-36.601617,140.492164
1305,Keith,BP,32 Dukes Highway,Keith,South Australia,-36.1052539999999,140.361902
1306,Mobil Tintinara,7-Eleven Pty Ltd,Dukes Highway,Tintinara,South Australia,-35.879473,140.050962
1307,Mobil Leeton,7-Eleven Pty Ltd,189 Palm Avenue,Leeton,New South Wales,-34.551303,146.399316
1308,Mobil Griffith,7-Eleven Pty Ltd,477 Banna Avenue,Griffith,New South Wales,-34.2868559999999,146.039591
1309,Burra Roadhouse,7-Eleven Pty Ltd,26 Commercial Street,Burra,South Australia,-33.683256,138.937665
1310,Mobil Dubbo West,7-Eleven Pty Ltd,51-63 Whylandra Street,Dubbo,New South Wales,-32.248205,148.592695
1311,Shell Bay Road,Shell,34 Bay Road,Mount Gambier,South Australia,-37.832397,140.778326
1312,Coles Express Mount Gambier,Shell,96 Commercial Street West,Mount Gambier,South Australia,-37.8263739999999,140.775343
1313,Shell Penola Roadhouse,Shell,84 Church Street,Penola,South Australia,-37.375667,140.836251
1314,Coles Express Naracoorte,Shell,62 Stewart Terrace,Naracoorte,South Australia,-36.9540719999999,140.72973
1315,Southway ,Shell,62 North Terrace,Bordertown,South Australia,-36.308412,140.772398
1316,Coles Express Griffith,Shell,117-121 Banna Avenue,Griffith,New South Wales,-34.288247,146.051329
1317,Coles Express Dubbo,Shell,131-133 Cobra Street,Dubbo,New South Wales,-32.2551149999999,148.61261
1318,Coles Express West Dubbo,Shell,45-49 Whylandra Street,Dubbo,New South Wales,-32.247452,148.593274
1319,Meckering Roadhouse,Shell,31 Dreyer Street,Meckering,Western Australia,-31.632463,117.006165
1320,Coles Express Katherine,Shell,28-30 Katherine Terrace,Katherine South,Northern Territory,-14.46561,132.262921
1321,Coles Express Fairway Waters,Shell,130 University Avenue,Durack,Northern Territory,-12.4801629999999,130.97037
1322,Coles Express Palmerston,Shell,2 Yarrawonga Road,Yarrawonga,Northern Territory,-12.473511,130.983928
1323,Coles Express Darwin City,Shell,Daly Street and McMinn Street,Darwin City,Northern Territory,-12.4547519999999,130.838643
1324,Coles Express Darwin Truck City,Shell,685 Stuart Highway,Knuckey Lagoon,Northern Territory,-12.434898,130.923946
1325,Coles Express Winnellie,Shell,380 Stuart Highway,Winnellie,Northern Territory,-12.4256829999999,130.869452
1326,Coles Express Nightcliff,Shell,Progress Drive and Dick Ward Drive,Nightcliff,Northern Territory,-12.388302,130.851953
1327,Coles Express Casuarina,Shell,242 Trower Road,Wagaman,Northern Territory,-12.377038,130.881884
1328,Mobil Mount Gambier,7-Eleven Pty Ltd,2 Provenance Drive,Mount Gambier,South Australia,-37.839602,140.813967
1329,Mobil Naracoorte,7-Eleven Pty Ltd,9 Stewart Terrace,Naracoorte,South Australia,-36.953789,140.730322
1330,Shell Padthaway,Shell,15 Memorial Drive,Padthaway,South Australia,-36.601173,140.491997
1331,Independent Mundulla,Independent Fuel Supplies,6-8 Bordertown Desert Camp Road,Mundulla,South Australia,-36.359859,140.693584
1332,Independent Bordertown,Independent Fuel Supplies,1 Ramsay Terrace North,Bordertown,South Australia,-36.299718,140.760159
1333,Liberty Tintinara,Liberty,Dukes Highway and High Street,Tintinara,South Australia,-35.8844319999999,140.056243
1334,Independent Tintinara,Independent Fuel Supplies,23 Becker Terrace,Tintinara,South Australia,-35.8825479999999,140.055103
1335,Independent Leeton,Independent Fuel Supplies,110 Kurrajong Avenue,Leeton,New South Wales,-34.5557919999999,146.409825
1336,Shell Leeton,Shell,98 Kurrajong Avenue,Leeton,New South Wales,-34.5548889999999,146.408741
1337,Independent Dubbo,Independent Fuel Supplies,60 Windsor Parade,Dubbo,New South Wales,-32.2545679999999,148.631764
1338,Mayfield,7-Eleven Pty Ltd,126-134 Maitland Road,Mayfield,New South Wales,-32.901863491,151.742068255
1339,Caltex Ballina,Caltex,44 Pacific Highway,Ballina,New South Wales,-28.8582759999999,153.560567
1340,Independent Casino,Independent Fuel Supplies,167 Centre Street,Casino,New South Wales,-28.862838,153.046364
1341,Caltex Grafton,Caltex,52 Fitzroy Street,Grafton,New South Wales,-29.692986,152.936645
1342,Independent Merredin,Independent Fuel Supplies,1 King Street,Merredin,Western Australia,-31.4812239999999,118.273696
1343,Shell Lake Cathie,Shell,1665 Ocean Drive,Lake Cathie,New South Wales,-31.5457969999999,152.855712
1344,Independent Dungog,Independent Fuel Supplies,282 Dowling Street,Dungog,New South Wales,-32.399132,151.757793
1345,Independent Greta,Independent Fuel Supplies,28 High Street,Greta,New South Wales,-32.6830029999999,151.392999
1346,Independent Cudal,Independent Fuel Supplies,7 Main Street,Cudal,New South Wales,-33.286763,148.738014
1347,Ampol Capel,Ampol,84 Capel Drive,Capel,Western Australia,-33.5522769999999,115.562498
1348,Liberty Donnybrook,Liberty,Lot 608 South Western Highway,Donnybrook,Western Australia,-33.575749,115.825081
1349,Independent Boyup Brook,Independent Fuel Supplies,33 Abel Street,Boyup Brook,Western Australia,-33.829584,116.383656
1350,Independent Jerramungup,Independent Fuel Supplies,4 Tobruk Road,Jerramungup,Western Australia,-33.939949,118.919733
1351,BP Manjimup,BP,102 Giblett Street,Manjimup,Western Australia,-34.238729,116.148208
1352,Gull Manjimup,Gull,4 Chopping Street,Manjimup,Western Australia,-34.248998,116.142098
1353,Independent Goulburn,Independent Fuel Supplies,53 Sydney Road,Goulburn,New South Wales,-34.7479559999999,149.749398
1354,Liberty Goulburn,Liberty,62 Clinton Street,Goulburn,New South Wales,-34.7575899999999,149.713998
1355,Independent Wandandian,Independent Fuel Supplies,2720 Princes Highway,Wandandian,New South Wales,-35.091359,150.507519
1356,Independent East Wagga Wagga,Independent Fuel Supplies,343 Hammond Avenue,East Wagga Wagga,New South Wales,-35.1245509999999,147.415755
1357,Mobil Merimbula,7-Eleven Pty Ltd,41 Merimbula Drive,Merimbula,New South Wales,-36.887664,149.907117
1358,Mobil Bombala,7-Eleven Pty Ltd,159-161 Maybe Street,Bombala,New South Wales,-36.9123499999999,149.237565
1359,Liberty Launceston,Liberty,121 Paterson Street,Launceston,Tasmania,-41.4401809999999,147.131621
1360,Halls Gap,7-Eleven Pty Ltd,111 Grampians Road,Halls Gap,Victoria,-37.1401779999999,142.519493
1361,Ben Boyd ,7-Eleven Pty Ltd,24 Mitchell Street,Eden,New South Wales,-37.063754,149.903096
1362,Coles Express Karratha Travel & Truck,Shell,North West Coastal Highway and Madigan Road,Karratha,Western Australia,-20.7948289999999,116.778123
1363,Coles Express Lismore Ballina Road,Shell,424-426 Ballina Road,Lismore Heights,New South Wales,-28.8106979999999,153.305299
1364,Coles Express Lismore Dawson St,Shell,145 Magellan Street,Lismore,New South Wales,-28.8114189999999,153.280075
1365,Coles Express Casino,Shell,88 Centre Street,Casino,New South Wales,-28.866303,153.044988
1366,River Street .,Shell,273 River Street,Ballina,New South Wales,-28.868102,153.555291
1367,Coles Express Dongara Roadhouse,Shell,30183 Brand Highway,Dongara,Western Australia,-29.252893,114.958835
1368,Coles Express Grafton,Shell,93 Bent Street,South Grafton,New South Wales,-29.7060509999999,152.939939
1369,Coles Express Halfway Creek,Shell,4974 Pacific Highway,Halfway Creek,New South Wales,-29.93484,153.095153
1370,Coles Express Tamworth West,Shell,147-151 Bridge Street,West Tamworth,New South Wales,-31.094957,150.911931
1371,Coles Express Tamworth,Shell,251-253 Goonoo Goonoo Road,South Tamworth,New South Wales,-31.1118989999999,150.922821
1372,Coles Express Port Macquarie,Shell,123 Gordon Street,Port Macquarie,New South Wales,-31.4343069999999,152.904681
1373,Coles Express Wauchope,Shell,58 High Street,Wauchope,New South Wales,-31.45762,152.731636
1374,Shell Merredin Roadhouse,Shell,169 Great Eastern Highway,Merredin,Western Australia,-31.4846719999999,118.29097
1375,Coles Express Taree,Shell,57 Victoria Street,Taree,New South Wales,-31.9104369999999,152.465333
1376,Old Bar ,Shell,124 Old Bar Road,Old Bar,New South Wales,-31.966799,152.574627
1377,Coles Express Forster,Shell,2-6 The Lakes Way,Forster,New South Wales,-32.194606,152.514554
1378,Coles Express Singleton,Shell,69-73 George Street,Singleton,New South Wales,-32.5629709999999,151.175587
1379,Coles Express Greta,Shell,122 High Street,Greta,New South Wales,-32.6762689999999,151.387275
1380,Coles Express Nelson Bay,Shell,25-27 Stockton Street,Nelson Bay,New South Wales,-32.722657,152.143725
1381,Shell Allandale,BP,36-42 Wine Country Drive,Cessnock,New South Wales,-32.818439,151.350853
1382,Cessnock ,Shell,68 Aberdare Road,Aberdare,New South Wales,-32.8413219999999,151.367754
1383,Bridge ,7-Eleven Pty Ltd,Bylong Valley Way and Henbury Avenue,Kandos,New South Wales,-32.855382,149.97039
1384,Shell Roadhouse Williams,Shell,24 Albany Highway,Williams,Western Australia,-33.029105,116.879398
1385,Wallerawang ,Shell,26 Main Street,Wallerawang,New South Wales,-33.409708,150.065378
1386,Shell Yetholme,Shell,3529 Great Western Highway,Yetholme,New South Wales,-33.44652,149.829687
1387,Coles Express Lithgow,Shell,1 Great Western Highway,South Bowenfels,New South Wales,-33.5058069999999,150.123861
1388,Coles Express Lawson,Shell,311 Great Western Highway,Lawson,New South Wales,-33.7219699999999,150.425998
1389,Margaret River Shell,Shell,77 Bussell Highway,Margaret River,Western Australia,-33.94685,115.07472
1390,Coles Express Narellan,Shell,287 Camden Valley Way,Narellan,New South Wales,-34.041167,150.73265
1391,Thompsons Garage,Shell,91 Giblett Street,Manjimup,Western Australia,-34.239273,116.147202
1392,Coles Express Sutton Forest West,Shell,Lot 7 Hume Highway West Bound,Sutton Forest,New South Wales,-34.607811,150.228247
